Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,15/02/2018 01:02:24,80,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25000.0,80.0,0.0,80,80,80,80.0,0.0,80,80,0,0.0,0.0,0,0,0,0,0,0,40,0,25000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 08:24:41,35554,1,1,45,177,45,45,45.0,0.0,177,177,177.0,0.0,6244.023176014,56.2524610452,35554.0,0.0,35554,35554,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,28.1262305226,28.1262305226,45,177,89.0,76.210235533,5808.0,0,0,0,0,0,0,0,0,1,133.5,45.0,177.0,0,0,0,0,0,0,1,45,1,177,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 10:19:20,370,1,1,50,178,50,50,50.0,0.0,178,178,178.0,0.0,616216.216216216,5405.4054054054,370.0,0.0,370,370,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2702.7027027027,2702.7027027027,50,178,92.6666666667,73.9008344563,5461.3333333333,0,0,0,0,0,0,0,0,1,139.0,50.0,178.0,0,0,0,0,0,0,1,50,1,178,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
123,17,15/02/2018 08:45:18,45651,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,2102.911217717,43.8106503691,45651.0,0.0,45651,45651,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,21.9053251846,21.9053251846,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,0,0,0,0,0,0,1,48,1,48,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 08:51:22,1068,1,1,42,102,42,42,42.0,0.0,102,102,102.0,0.0,134831.460674157,1872.65917603,1068.0,0.0,1068,1068,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,936.329588015,936.329588015,42,102,62.0,34.6410161514,1200.0,0,0,0,0,0,0,0,0,1,93.0,42.0,102.0,0,0,0,0,0,0,1,42,1,102,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 12:21:20,58098,2,2,78,334,39,39,39.0,0.0,167,167,167.0,0.0,7091.4661434129,68.8491858584,19366.0,32967.0521430109,57433,268,57701,57701.0,0.0,57701,57701,57830,57830.0,0.0,57830,57830,0,0,0,0,16,16,34.4245929292,34.4245929292,39,167,90.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,112.75,39.0,167.0,0,0,0,0,0,0,2,78,2,334,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 12:09:07,66511,2,2,56,336,28,28,28.0,0.0,168,168,168.0,0.0,5893.7619341162,60.1404278991,22170.3333333333,19223.8454616482,34228,1,32282,32282.0,0.0,32282,32282,1,1.0,0.0,1,1,0,0,0,0,16,16,30.0702139496,30.0702139496,28,168,84.0,76.6811580507,5880.0,0,0,0,0,0,0,0,0,1,105.0,28.0,168.0,0,0,0,0,0,0,2,56,2,336,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
52535,6,15/02/2018 03:23:11,39,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,51282.0512820513,39.0,0.0,39,39,39,39.0,0.0,39,39,0,0.0,0.0,0,0,0,0,0,0,40,0,51282.0512820513,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 09:54:50,44135503,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0453149928,44135503.0,0.0,44135503,44135503,44135503,44135503.0,0.0,44135503,44135503,0,0.0,0.0,0,0,0,0,0,0,64,0,0.0453149928,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0.0,0.0,0,0,44135503.0,0.0,44135503,44135503,DoS attacks-GoldenEye
53,17,15/02/2018 11:36:09,312,1,1,35,51,35,35,35.0,0.0,51,51,51.0,0.0,275641.025641026,6410.2564102564,312.0,0.0,312,312,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3205.1282051282,3205.1282051282,35,51,40.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,60.5,35.0,51.0,0,0,0,0,0,0,1,35,1,51,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 01:52:29,5393948,4,4,97,232,97,0,24.25,48.5,232,0,58.0,116.0,60.9942847057,1.4831437011,770564.0,2011453.76029155,5331818,41,62130,20710.0,35617.0326810081,61837,126,5393822,1797940.66666667,3113645.67170902,5393269,252,0,0,0,0,92,92,0.7415718505,0.7415718505,0,232,36.5555555556,80.0048609634,6400.7777777778,0,0,0,1,0,0,0,0,1,41.125,24.25,58.0,0,0,0,0,0,0,4,97,4,232,8192,141,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 09:08:45,1027,1,1,39,100,39,39,39.0,0.0,100,100,100.0,0.0,135345.666991237,1947.4196689387,1027.0,0.0,1027,1027,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,973.7098344693,973.7098344693,39,100,59.3333333333,35.2183664206,1240.3333333333,0,0,0,0,0,0,0,0,1,89.0,39.0,100.0,0,0,0,0,0,0,1,39,1,100,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 01:28:48,22500,2,2,60,92,30,30,30.0,0.0,46,46,46.0,0.0,6755.5555555556,177.7777777778,7500.0,12365.4455641517,21778,270,22048,22048.0,0.0,22048,22048,22230,22230.0,0.0,22230,22230,0,0,0,0,16,16,88.8888888889,88.8888888889,30,46,36.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,45.5,30.0,46.0,0,0,0,0,0,0,2,60,2,92,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 01:55:19,37626,1,1,33,133,33,33,33.0,0.0,133,133,133.0,0.0,4411.842874608,53.154733429,37626.0,0.0,37626,37626,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,26.5773667145,26.5773667145,33,133,66.3333333333,57.735026919,3333.3333333333,0,0,0,0,0,0,0,0,1,99.5,33.0,133.0,0,0,0,0,0,0,1,33,1,133,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
445,6,15/02/2018 10:47:36,1479720,7,5,364,582,103,0,52.0,49.2172056636,409,0,116.4,167.0353256051,639.3101397562,8.1096423648,134520.0,153927.562263553,306274,37,1479720,246620.0,120733.733312608,306410,431,1173409,293352.25,3613.6884550276,296080,288344,0,0,0,0,152,112,4.7306247128,3.379017652,0,409,72.7692307692,109.5332170669,11997.5256410256,0,0,0,1,0,0,0,0,0,78.8333333333,52.0,116.4,0,0,0,0,0,0,7,364,5,582,8192,255,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 05:24:45,59,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,33898.3050847458,59.0,0.0,59,59,59,59.0,0.0,59,59,0,0.0,0.0,0,0,0,0,0,0,40,0,33898.3050847458,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2238,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 09:50:24,28982235,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0690077905,28982235.0,0.0,28982235,28982235,28982235,28982235.0,0.0,28982235,28982235,0,0.0,0.0,0,0,0,0,0,0,64,0,0.0690077905,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0.0,0.0,0,0,28982235.0,0.0,28982235,28982235,DoS attacks-GoldenEye
445,6,15/02/2018 11:10:49,574672,7,5,364,582,103,0,52.0,49.2172056636,409,0,116.4,167.0353256051,1646.1564161818,20.881476738,52242.9090909091,59387.4871188444,130325,3,574672,95778.6666666667,47870.7488124707,130436,3,444310,111077.5,7956.9820283824,118636,101564,0,0,0,0,152,112,12.1808614305,8.7006153075,0,409,72.7692307692,109.5332170669,11997.5256410256,0,0,0,1,0,0,0,0,0,78.8333333333,52.0,116.4,0,0,0,0,0,0,7,364,5,582,8192,255,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,15/02/2018 11:32:45,2467482,8,7,1148,1581,677,0,143.5,228.129662379,1173,0,225.8571428571,430.0986044197,1105.9857782144,6.0790717014,176248.714285714,251121.699324153,957521,4,2467482,352497.428571429,406084.473412391,1249657,4,2232277,372046.166666667,287721.844135906,957521,235567,0,0,0,0,172,152,3.2421715741,2.8369001273,0,1173,170.5625,319.433241591,102037.595833333,0,0,0,1,0,0,0,0,0,181.9333333333,143.5,225.8571428571,0,0,0,0,0,0,8,1148,7,1581,8192,62852,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
445,6,15/02/2018 08:37:31,186414,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21.4576158443,62138.0,107570.7519217,186350,1,186414,93207.0,131813.189294547,186413,1,0,0.0,0.0,0,0,0,0,0,0,72,32,16.0932118832,5.3644039611,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 11:34:44,13923,1,1,34,242,34,34,34.0,0.0,242,242,242.0,0.0,19823.313940961,143.6472024707,13923.0,0.0,13923,13923,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,71.8236012354,71.8236012354,34,242,103.3333333333,120.0888559914,14421.3333333333,0,0,0,0,0,0,0,0,1,155.0,34.0,242.0,0,0,0,0,0,0,1,34,1,242,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,15/02/2018 12:50:53,2255805,10,8,1825,1581,677,0,182.5,269.6307145379,1173,0,197.625,406.1217050168,1509.8822814915,7.9794131142,132694.411764706,185563.24179106,735733,4,2255805,250645.0,253837.177353909,857396,4,2134081,304868.714285714,254114.231002984,735733,44157,0,0,0,0,212,184,4.4330072856,3.5464058285,0,1173,179.2631578947,320.0510101887,102432.649122807,0,0,0,1,0,0,0,0,0,189.2222222222,182.5,197.625,0,0,0,0,0,0,10,1825,8,1581,8192,62852,6,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 09:50:19,6907703,5,3,373,972,373,0,74.6,166.8106711215,972,0,324.0,561.1844616523,194.7101663172,1.1581273833,986814.714285714,2594852.43871495,6871310,1,6907703,1726925.75,3429857.82448344,6871651,1,6871632,3435816.0,4858522.20825139,6871310,322,0,0,0,0,168,104,0.7238296146,0.4342977687,0,972,149.4444444444,332.2104420059,110363.777777778,0,0,0,1,0,0,0,0,0,168.125,74.6,324.0,0,0,0,0,0,0,5,373,3,972,26883,219,1,32,325.0,0.0,325,325,6871310.0,0.0,6871310,6871310,DoS attacks-GoldenEye
51950,6,15/02/2018 01:57:18,0,2,0,31,0,31,0,15.5,21.9203102168,0,0,0.0,0.0,inf,inf,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,40,0,0.0,0.0,0,31,20.6666666667,17.8978583449,320.3333333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,127,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
