Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.31.67.91-52.4.253.151-52813-443-6,172.31.67.91,52813,52.4.253.151,443,6,20/02/2018 01:10:28,28979560,9,11,324.0,3517.0,196.0,0.0,36.0,72.99828765114972,1460.0,0.0,319.7272727272727,574.4352166970773,132.5416949049606,0.6901416032541557,1525240.0,3604125.407209664,10144163.0,4.0,28979560.0,3622445.0,4978458.766102504,10155841.0,225.0,28967310.0,2896731.0,4664731.700367319,10182978.0,25.0,0,0,0,0,192,256,0.31056372146437,0.3795778817897856,0.0,1460.0,182.9047619047619,434.5109785450656,188799.79047619045,0,0,1,1,0,0,0,1,1.0,192.05,36.0,319.72727272727275,0,0,0,0,0,0,9,324,11,3517,8192,134,4,20,62238.0,87571.62280670606,163357.0,11678.0,9597358.666666666,916912.1855152396,10144163.0,8538793.0,Benign
152.101.118.11-172.31.67.96-53827-3389-6,152.101.118.11,53827,172.31.67.96,3389,6,20/02/2018 12:51:12,2205712,8,7,1148.0,1581.0,677.0,0.0,143.5,228.12966237897004,1173.0,0.0,225.8571428571429,430.0986044197418,1237.2422147587718,6.80052518189138,157550.85714285713,248244.9937792091,953057.0,3.0,2205712.0,315101.7142857143,399561.24572240247,1205290.0,3.0,2006255.0,334375.8333333334,303762.0038737016,953057.0,198526.0,0,0,0,0,172,152,3.6269467636754023,3.1735784182159774,0.0,1173.0,170.56250000000003,319.4332415909987,102037.59583333335,0,0,0,1,0,0,0,0,0.0,181.9333333333333,143.5,225.8571428571429,0,0,0,0,0,0,8,1148,7,1581,8192,62852,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
165.132.126.226-172.31.66.26-6794-3389-6,165.132.126.226,6794,172.31.66.26,3389,6,20/02/2018 09:53:35,2220283,8,7,1148.0,1581.0,677.0,0.0,143.5,228.12966237897004,1173.0,0.0,225.8571428571429,430.0986044197418,1229.1225938315072,6.755895532236207,158591.64285714287,248383.70332817023,953159.0,5.0,2220283.0,317183.2857142857,395370.747254487,1196928.0,5.0,2031408.0,338568.0,302042.8108987201,953159.0,199618.0,0,0,0,0,172,152,3.60314428385931,3.152751248376896,0.0,1173.0,170.56250000000003,319.4332415909987,102037.59583333335,0,0,0,1,0,0,0,0,0.0,181.9333333333333,143.5,225.8571428571429,0,0,0,0,0,0,8,1148,7,1581,64240,62852,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 02:26:14,112641187,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266332420662434,56320593.5,40.30508652763321,56320622.0,56320565.0,112641187.0,56320593.5,40.30508652763321,56320622.0,56320565.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0266332420662434,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0.0,0.0,56320593.5,40.30508652763321,56320622.0,56320565.0,Benign
172.31.64.48-212.88.119.186-445-49493-6,172.31.64.48,445,212.88.119.186,49493,6,20/02/2018 09:57:46,255,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7843.137254901961,255.0,0.0,255.0,255.0,255.0,255.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,7843.137254901961,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.64.16-52.85.89.87-50388-443-6,52.85.89.87,443,172.31.64.16,50388,6,20/02/2018 09:29:03,9693,2,1,38.0,0.0,38.0,0.0,19.0,26.87005768508881,0.0,0.0,0.0,0.0,3920.3548952852575,309.50170225936245,4846.5,6832.772826605608,9678.0,15.0,9693.0,9693.0,0.0,9693.0,9693.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,206.3344681729083,103.16723408645414,0.0,38.0,19.0,21.939310229205777,481.3333333333333,0,1,0,0,1,0,0,0,0.0,25.33333333333333,19.0,0.0,0,0,0,0,0,0,2,38,1,0,123,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
151.101.128.217-172.31.67.17-443-51553-6,151.101.128.217,443,172.31.67.17,51553,6,20/02/2018 10:51:01,7163783,2,0,62.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,8.654645178392478,0.2791821025287896,7163783.0,0.0,7163783.0,7163783.0,7163783.0,7163783.0,0.0,7163783.0,7163783.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,0.2791821025287896,0.0,31.0,31.0,31.0,0.0,0.0,0,1,0,0,1,1,0,0,0.0,46.5,31.0,0.0,0,0,0,0,0,0,2,62,0,0,31088,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
169.254.169.254-172.31.66.96-80-49719-6,172.31.66.96,49719,169.254.169.254,80,6,20/02/2018 10:32:37,109,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18348.623853211007,109.0,0.0,109.0,109.0,109.0,109.0,0.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,18348.623853211007,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.69.25-18.219.5.43-80-57500-6,18.219.5.43,57500,172.31.69.25,80,6,20/02/2018 11:02:54,21829911,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091617414,21800000.0,0.0,21800000.0,21800000.0,21800000.0,21800000.0,0.0,21800000.0,21800000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.091617414,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0.0,0.0,0.0,0.0,21800000.0,0.0,21800000.0,21800000.0,DDoS attacks-LOIC-HTTP
172.31.67.60-68.67.178.138-55223-443-6,172.31.67.60,55223,68.67.178.138,443,6,20/02/2018 04:09:31,90,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22222.222222222223,90.0,0.0,90.0,90.0,90.0,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,22222.222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,64209,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
